Year,Artist,Album,Song,Co-written with
2005,Marion Raven,Here I Am,"""Little by Little""","Rami Yacoub, Peter Svensson, Marion Ravn"
2005,Marion Raven,Here I Am,"""End of Me""","Rami Yacoub, Marion Ravn"
2005,Marion Raven,Here I Am,"""Six Feet Under""","Rami Yacoub, Marion Ravn"
2005,Marion Raven,Here I Am,"""Gotta Be Kidding""","Rami Yacoub, Camela Leierth, Marion Ravn"
2005,Marion Raven,Here I Am,"""In Spite of Me""","Rami Yacoub, Alexandra Talomaa, Marion Ravn"
2005,Marion Raven,Here I Am,"""There I Said It""",Marion Ravn
2005,The Veronicas,The Secret Life Of...,"""4ever""",Lukasz Gottwald
2005,The Veronicas,The Secret Life Of...,"""Everything I'm Not""","Lukasz Gottwald, Jessica Origliasso, Lisa Origliasso, Rami Yacoub"
2005,Bo Bice,The Real Thing,"""U Make Me Better""","Lukasz Gottwald, Jill Latiano"
2005,Bo Bice,The Real Thing,"""Lie...It's All Right""",Lukasz Gottwald
2006,Pink,I'm Not Dead,"""Who Knew""","Alecia Moore, Lukasz Gottwald"
2006,Pink,I'm Not Dead,"""Cuz I Can""","Alecia Moore, Lukasz Gottwald"
2006,Pink,I'm Not Dead,"""U + Ur Hand""","Alecia Moore, Lukasz Gottwald, Rami Yacoub"
2006,Darin,Break the News,"""Extraordinary Love""","Rami Yacoub, Robin Carlsson, Patrik Berger"
2006,Ashley Parker Angel,Soundtrack to Your Life,"""I'm Better""","Lukasz Gottwald, Shelly Peiken"
2006,Ashley Parker Angel,Soundtrack to Your Life,"""Let U Go""",Lukasz Gottwald
2006,Megan McCauley,Better Than Blood,"""Tap That""","Lukasz Gottwald, Megan McCauley"
2006,Stephanie McIntosh,Tightrope,"""Mistake""","Rami Yacoub, Arnthor Birgisson"
2006,Linda Sundblad,Oh My God!,"""Pretty Rebels""","Alexander Kronlund, Linda Sundblad, Tobias Karlsson"
2006,Kelis,Kelis Was Here,"""I Don't Think So""",Lukasz Gottwald
2006,Tobias Regner,Straight,"""Hologram""","Per Aldeheim, Tony Cornelissen"
2007,Avril Lavigne,The Best Damn Thing,"""I Will Be""","Avril Lavigne, Lukasz Gottwald"
2007,Avril Lavigne,The Best Damn Thing,"""Alone""","Avril Lavigne, Lukasz Gottwald"
2007,Enrique Iglesias,,"""Alive""","Enrique Iglesias, Rami Yacoub, Arnthor Birgisson"
2007,Shayne Ward,Breathless,"""If That's OK with You""","Savan Kotecha, Arnthor Birgisson"
2007,James Blunt,All the Lost Souls,"""Carry You Home""",James Blount
2007,Stanfour,Wild Life,"""Do It All""",Per Aldeheim
2007,Apocalyptica,Worlds Collide,"""I Don't Care""","Eicca Toppinen, Adam Gontier"
2007,Amy Diamond,Music in Motion,"""Stay My Baby""",Tommy Tysper
2007,Daughtry,Daughtry,"""Feels Like Tonight""","Lukasz Gottwald, Sheppard Solomon"
2007,Leona Lewis,Spirit,"""I Will Be""","Avril Lavigne, Lukasz Gottwald"
2008,Katy Perry,One of the Boys,"""I Kissed a Girl""","Katy Perry, Lukasz Gottwald, Cathy Dennis"
2008,Katy Perry,One of the Boys,"""Hot n Cold""","Katy Perry, Lukasz Gottwald"
2008,Carolina Liar,Coming to Terms,"""Last Night""","Tobias Karlsson, Chad Wolfinbarger"
2008,Carolina Liar,Coming to Terms,"""Done Stealin""","Tobias Karlsson, Per Aldeheim, Chad Wolfinbarger"
